Id,Home Ownership,Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,,Bankruptcies,Current Credit Balance,Monthly Debt,Credit Score
0,Own Home,482087,,0,11,26.3,685960,1,,1,47386,7914,749
1,Own Home,1025487,10+ years,0,15,15.3,1181730,0,,0,394972,18373,737
2,Home Mortgage,751412,8 years,0,11,35,1182434,0,,0,308389,13651,742
3,Own Home,805068,6 years,0,8,22.5,147400,1,,1,95855,11338,694
4,Rent,776264,8 years,0,13,13.6,385836,1,,0,93309,7180,719
5,Rent,,7 years,0,12,14.6,366784,0,,0,165680,18692,
6,Home Mortgage,1511108,10+ years,0,9,20.3,388124,0,,0,51623,2317,745
7,Rent,1040060,10+ years,0,13,12,330374,0,,0,89015,19761,705
8,Home Mortgage,,5 years,0,17,15.7,0,1,,1,19,17,
9,Home Mortgage,,1 year,0,10,24.6,511302,0,,0,205333,17613,
10,Home Mortgage,,< 1 year,0,7,11.5,256322,0,,0,187492,14592,
11,Home Mortgage,1828560,4 years,0,12,17.6,839080,0,,0,402914,15528,737
12,Home Mortgage,933432,10+ years,0,8,14,443608,0,,0,315305,19446,706
13,Rent,2066364,10+ years,0,11,17.7,1654026,0,,0,1037077,21869,728
14,Own Home,2258796,7 years,0,11,17.7,1602546,0,,0,1374327,58352,748
15,Rent,848464,10+ years,0,9,18.4,296186,0,,0,41439,12939,727
16,Rent,,7 years,0,6,17.8,899492,0,,0,538346,18844,
17,Home Mortgage,3361898,3 years,0,14,28.5,1042096,0,,0,689396,52249,644
18,Home Mortgage,1401744,2 years,0,9,29,387222,0,,0,201989,13434,695
19,Rent,1020072,2 years,0,6,12.5,199078,0,,0,120517,14451,712
20,Home Mortgage,1651993,10+ years,0,11,26.5,663894,0,,0,252852,8742,697
21,Home Mortgage,1047394,6 years,0,7,34.4,401104,0,,0,183597,7786,719
22,Rent,463790,,0,6,28.3,288442,0,,0,157700,5063,738
23,Own Home,,10+ years,0,17,14.8,700040,0,,0,168074,17132,
24,Own Home,,,0,12,25,1216336,0,,0,818311,37530,
25,Rent,1353142,10+ years,0,3,29.8,1231912,0,,0,1036279,22225,720
26,Home Mortgage,951425,2 years,0,20,15.8,748880,0,,0,285874,17046,742
27,Rent,1004055,8 years,0,7,14.5,328394,0,,0,195966,6041,734
28,Home Mortgage,711094,10+ years,0,12,19.5,533808,0,,0,262314,13807,740
29,Rent,,10+ years,0,9,18.6,186494,0,,0,72808,22352,
30,Rent,612750,7 years,0,8,14,225016,1,,1,147687,6128,719
31,Own Home,1289796,10+ years,0,11,20.5,845548,0,,0,640433,26549,708
32,Home Mortgage,1526840,10+ years,0,19,25,1303082,0,,0,495178,28247,726
33,Home Mortgage,,< 1 year,0,13,21,101464,0,,0,60287,14003,
34,Rent,1899050,3 years,0,6,10.2,802692,0,,0,550430,21839,722
35,Rent,,< 1 year,0,9,31.4,1457104,0,,0,254201,7020,
36,Home Mortgage,,6 years,0,8,14.5,409222,0,,0,206758,18846,
37,Rent,,5 years,0,13,18,608652,0,,0,221825,10806,
38,Rent,1395645,6 years,0,15,17.6,1480182,0,,0,58805,10200,750
39,Home Mortgage,852017,7 years,3,12,7.6,337722,3,,0,160417,21868,727
40,Rent,709821,10+ years,0,13,23.7,339724,0,,0,198341,14670,670
41,Rent,1350349,10+ years,0,20,15,763422,0,,0,306584,9014,721
42,Own Home,,4 years,0,22,10.9,625042,0,,0,300675,13844,
43,Home Mortgage,,10+ years,0,10,9.4,348678,0,,0,165927,12031,
44,Have Mortgage,1334256,10+ years,0,17,15.4,380052288,1,,0,656450,34357,729
45,Home Mortgage,,10+ years,0,10,21.4,1104554,1,,1,595251,28897,
46,Home Mortgage,1721457,10+ years,0,6,27.3,263604,0,,0,121353,23527,723
47,Own Home,,5 years,0,18,18,1447468,0,,0,612541,24039,
48,Home Mortgage,,8 years,0,14,18.7,252670,0,,0,94696,25005,
49,Rent,,5 years,0,8,17,181742,0,,0,108300,19012,
50,Rent,665931,3 years,0,6,22.2,279642,0,,0,181127,9379,716
51,Home Mortgage,1521672,3 years,0,12,10.4,900878,0,,0,242744,20416,742
52,Rent,916560,3 years,0,8,9.5,564168,0,,0,183198,13137,744
53,Home Mortgage,2276808,10+ years,0,19,34.4,1685794,0,,0,267881,13889,707
54,Home Mortgage,,10+ years,0,7,17.6,293766,1,,1,149948,3767,
55,Rent,,6 years,0,7,18,89100,0,,0,39235,18351,
56,Rent,1520969,10+ years,0,7,19.2,458590,0,,0,2774,12865,748
57,Rent,719549,2 years,0,7,16.3,37290,1,,0,27569,12592,722
58,Home Mortgage,992845,,0,17,21.2,1132054,0,,0,294291,25483,739
59,Rent,,< 1 year,0,9,10.7,642092,0,,0,296685,13006,
60,Home Mortgage,1630029,,0,10,17.3,697114,0,,0,260680,6181,714
61,Home Mortgage,866476,1 year,0,15,12.9,239800,0,,0,130891,11770,701
62,Home Mortgage,1670860,6 years,0,8,16,233420,0,,0,122569,23949,705
63,Rent,573762,1 year,0,7,16.6,197120,0,,0,114741,12671,735
64,Rent,,< 1 year,0,10,15.6,697642,0,,0,398259,28077,
65,Rent,1280125,10+ years,0,8,13.3,362934,0,,0,204991,16428,741
66,Home Mortgage,,10+ years,0,11,11.3,693418,1,,1,147915,21461,
67,Rent,1269333,< 1 year,0,7,15.8,235510,0,,0,171874,5183,747
68,Rent,2157773,4 years,0,10,22.2,660374,0,,0,494475,39559,743
69,Home Mortgage,1408527,2 years,0,12,17.5,700062,0,,0,174135,9320,6470
70,Home Mortgage,613966,6 years,0,5,16.3,96998,0,,0,29982,6498,744
71,Rent,,10+ years,0,8,13.1,797874,0,,0,360392,35030,
72,Rent,1140000,10+ years,0,9,16,778448,0,,0,414808,19950,725
73,Home Mortgage,1631644,8 years,0,9,12.1,862422,0,,0,155667,4773,718
74,Home Mortgage,1435127,< 1 year,0,10,21.2,1643906,0,,0,782268,28487,674
75,Own Home,,10+ years,0,17,32.5,2322650,0,,0,136401,29320,
76,Rent,808298,5 years,0,12,15.7,632170,0,,0,251693,8622,746
77,Rent,1164852,3 years,0,19,12.7,276540,0,,0,92663,12134,729
78,Rent,,1 year,0,7,9,415250,0,,0,185402,7735,
79,Rent,985815,8 years,0,11,18.1,227876,3,,3,104899,10351,729
80,Rent,,10+ years,0,6,36.8,263934,0,,0,60173,16918,
81,Have Mortgage,1112298,< 1 year,0,7,9,81598,0,,0,42921,15906,704
82,Home Mortgage,1001357,6 years,0,6,16.5,655292,0,,0,294291,16606,745
83,Rent,1860290,3 years,0,18,16.4,1120218,0,,0,697528,49298,749
84,Home Mortgage,2539103,6 years,0,13,17.2,1211430,0,,0,636101,51205,742
85,Home Mortgage,1301614,9 years,0,17,18,9339924,0,,0,959899,16813,748
86,Home Mortgage,1934884,5 years,0,9,18,769604,0,,0,429381,19188,745
87,Home Mortgage,1533566,7 years,0,11,14.8,715462,0,,0,285475,18147,7440
88,Home Mortgage,1375068,10+ years,0,18,32,2672516,0,,0,678585,17991,729
89,Home Mortgage,1041675,10+ years,0,13,19.4,551320,0,,0,167599,12648,737
90,Rent,1304141,10+ years,0,6,12.9,132418,1,,1,97546,14237,673
91,Rent,601369,10+ years,0,6,16.9,0,0,,0,0,9021,738
92,Home Mortgage,1642075,10+ years,0,12,12.9,384736,0,,0,275462,25863,653
93,Home Mortgage,,10+ years,0,18,17.9,3028014,0,,0,2327443,55716,
94,Rent,1049294,3 years,0,5,6.1,249810,0,,0,119529,15215,7010
95,Home Mortgage,805828,9 years,0,8,20.5,657360,0,,0,250933,13565,740
96,Rent,757568,5 years,0,13,11.4,383548,0,,0,276583,11553,7320
97,Rent,840541,6 years,0,6,14.8,427372,0,,0,1102,483,751
98,Rent,1242087,,0,17,20.6,613954,1,,1,181336,16251,711
99,Rent,,1 year,0,9,8.9,61358,0,,0,14041,7879,
100,Own Home,337079,1 year,0,9,39.6,644204,0,,,224770,4326,734
101,Rent,960260,10+ years,0,10,16.3,796312,0,,0,320473,16645,617
102,Home Mortgage,708624,9 years,0,7,8.5,576378,0,,0,210064,6555,730
103,Rent,1510538,10+ years,0,7,18.8,593472,0,,0,432060,19511,724
104,Rent,1194834,3 years,0,10,31.3,520740,0,,0,332804,12148,747
105,Rent,,1 year,0,16,17.6,1158630,0,,0,218139,5996,
106,Home Mortgage,2454933,10+ years,0,10,22.4,531454,0,,0,383249,50122,730
107,Rent,,3 years,0,14,11.9,300740,0,,0,157149,14324,
108,Rent,1390306,,0,7,23.9,351516,0,,0,10925,9755,744
109,Home Mortgage,2831190,3 years,0,11,16.7,518188,0,,0,362938,26188,741
110,Rent,1131545,3 years,0,14,14.6,602954,0,,0,216106,12258,734
111,Home Mortgage,,2 years,0,9,13.8,259842,0,,0,160455,13511,
112,Home Mortgage,1530640,10+ years,0,14,18,283448,2,,2,194598,15306,740
