date,rate
1982-09-27,0.0
1982-10-01,-0.25
1982-10-07,-0.5
1982-11-19,-0.5
1982-12-14,-0.5
1982-12-22,0.0
1983-01-16,0.0
1983-01-23,0.0
1983-01-30,0.0
1983-02-10,0.0
1983-03-31,0.125
1983-05-01,0.0
1983-05-25,0.125
1983-06-24,0.25
1983-07-14,0.25
1983-07-20,0.1875
1983-08-11,0.125
1983-08-17,-0.0625
1983-08-25,0.0
1983-09-10,0.0
1983-09-15,-0.125
1983-10-06,0.0
1983-11-16,0.0
1983-12-21,0.0
1984-02-01,0.0
1984-03-22,0.0
1984-03-29,1.125
1984-05-23,0.0
1984-07-05,0.5
1984-07-19,0.25
1984-08-09,0.25
1984-08-23,0.0
1984-09-20,-0.25
1984-09-27,-0.25
1984-10-04,0.0
1984-10-11,-0.5
1984-10-18,-0.5
1984-11-08,-0.5
1984-11-23,-0.5
1984-12-06,-0.25
1984-12-19,-0.25
1984-12-24,-0.375
1985-01-20,0.0
1985-01-24,0.125
1985-02-14,0.125
1985-03-28,0.125
1985-04-25,-0.25
1985-05-20,-0.5
1985-07-11,-0.0625
1985-07-25,0.0625
1985-08-21,0.0625
1985-09-06,0.1875
1985-09-25,0.0
1985-10-03,0.0
1985-11-06,0.0
1985-12-18,-0.25
1986-02-13,0.0
1986-03-07,-0.5
1986-04-02,0.0625
1986-04-21,-0.5625
1986-05-22,0.0625
1986-06-05,0.0625
1986-07-11,-0.5
1986-08-21,-0.5
1986-09-25,0.0
1986-11-07,0.0
1986-12-17,0.0
1987-01-05,0.125
1987-02-12,0.0
1987-02-25,0.0
1987-04-02,0.0
1987-04-30,0.5
1987-05-22,0.25
1987-07-02,-0.125
1987-07-09,0.0
1987-08-20,0.0
1987-08-27,0.125
1987-09-03,0.125
1987-09-04,0.375
1987-09-24,0.0625
1987-10-21,0.0
1987-10-22,0.0
1987-10-23,0.0
1987-11-04,-0.5
1987-12-17,0.0
1988-01-07,0.0
1988-01-28,-0.1875
1988-02-11,-0.125
1988-03-30,0.25
1988-05-09,0.25
1988-05-19,0.0
1988-05-25,0.25
1988-06-22,0.1875
1988-07-01,0.0625
1988-07-19,0.1875
1988-08-08,0.0625
1988-08-09,0.375
1988-08-18,0.0
1988-09-22,0.0
1988-10-19,0.0
1988-11-03,0.0
1988-11-17,0.1875
1988-11-22,0.0625
1988-12-15,0.3125
1989-01-05,0.3125
1989-02-09,0.125
1989-02-14,0.1875
1989-02-24,0.4375
1989-03-30,0.0
1989-05-17,0.0625
1989-06-02,0.0
1989-06-06,-0.25
1989-07-07,-0.25
1989-07-27,-0.25
1989-08-24,0.0
1989-10-05,0.0
1989-10-19,-0.3125
1989-11-06,-0.25
1989-11-16,0.0
1989-12-20,-0.25
1990-02-08,0.0
1990-03-29,0.0
1990-04-13,0.0
1990-05-17,0.0
1990-07-04,0.0
1990-07-13,-0.25
1990-08-23,0.0
1990-09-09,0.0
1990-09-19,0.0
1990-10-04,0.0
1990-10-29,-0.25
1990-11-14,-0.25
1990-12-07,-0.25
1990-12-19,-0.25
1991-01-09,-0.25
1991-02-01,-0.5
1991-02-07,0.0
1991-03-08,-0.25
1991-03-28,0.0
1991-04-14,0.0
1991-04-30,-0.25
1991-05-16,0.0
1991-06-12,0.0
1991-06-26,0.0
1991-07-04,0.0
1991-08-06,-0.25
1991-08-22,0.0
1991-09-13,-0.25
1991-10-03,0.0
1991-10-31,-0.25
1991-11-06,-0.25
1991-12-04,0.0
1991-12-06,-0.25
1991-12-20,-0.5
1992-01-11,0.0
1992-02-06,0.0
1992-03-13,0.0
1992-04-02,0.0
1992-04-09,-0.25
1992-05-21,0.0
1992-07-02,-0.5
1992-08-20,0.0
1992-09-04,-0.25
1992-10-08,0.0
1992-11-19,0.0
1992-12-16,0.0
1992-12-24,0.0
1993-01-08,0.0
1993-02-04,0.0
1993-02-20,0.0
1993-03-03,0.0
1993-03-25,0.0
1993-05-20,0.0
1993-07-08,0.0
1993-08-19,0.0
1993-09-23,0.0
1993-10-07,0.0
1993-10-17,0.0
1993-10-24,0.0
1993-11-11,0.0
1993-11-12,0.0
1993-11-18,0.0
1993-12-23,0.0
1994-02-04,0.25
1994-03-02,0.0
1994-03-22,0.25
1994-04-18,0.25
1994-05-17,0.5
1994-07-07,0.0
1994-07-22,0.0
1994-08-16,0.5
1994-09-29,0.0
1994-11-15,0.75
1994-12-22,0.0
1995-01-01,0.0
1995-01-15,0.0
1995-02-01,0.5
1995-03-12,0.0
1995-03-30,0.0
1995-04-30,0.0
1995-05-25,0.0
1995-07-06,-0.25
1995-08-24,0.0
1995-09-28,0.0
1995-11-17,0.0
1995-12-19,-0.25
1996-01-31,-0.25
1996-03-28,0.0
1996-05-23,0.0
1996-07-04,0.0
1996-08-22,0.0
1996-09-26,0.0
1996-11-15,0.0
1996-12-19,0.0
1997-02-06,0.0
1997-03-25,0.25
1997-05-22,0.0
1997-07-03,0.0
1997-08-21,0.0
1997-10-02,0.0
1997-11-14,0.0
1997-12-18,0.0
1998-02-05,0.0
1998-04-02,0.0
1998-05-21,0.0
1998-07-02,0.0
1998-08-20,0.0
1998-09-23,0.0
1998-09-29,-0.25
1998-10-15,-0.25
1998-11-17,-0.25
1998-12-24,0.0
1999-02-04,0.0
1999-04-01,0.0
1999-05-20,0.0
1999-06-30,0.25
1999-08-24,0.25
1999-10-07,0.0
1999-11-16,0.25
1999-12-23,0.0
2000-02-02,0.25
2000-03-21,0.25
2000-05-16,0.5
2000-06-29,0.0
2000-08-24,0.0
2000-10-05,0.0
2000-11-17,0.0
2000-12-21,0.0
2001-01-03,-0.5
2001-01-31,-0.5
2001-03-20,-0.5
2001-04-13,0.0
2001-04-18,-0.5
2001-05-15,-0.5
2001-06-27,-0.25
2001-08-21,-0.25
2001-09-15,0.0
2001-09-17,-0.5
2001-10-02,-0.5
2001-11-06,-0.5
2001-12-11,-0.25
2002-01-31,0.0
2002-03-21,0.0
2002-05-09,0.0
2002-06-27,0.0
2002-08-15,0.0
2002-09-26,0.0
2002-11-06,-0.5
2002-12-12,0.0
2003-01-30,0.0
2003-03-20,0.0
2003-03-27,0.0
2003-04-03,0.0
2003-04-10,0.0
2003-04-18,0.0
2003-05-08,0.0
2003-06-25,-0.25
2003-08-14,0.0
2003-09-17,0.0
2003-09-18,0.0
2003-10-30,0.0
2003-12-11,0.0
2004-01-29,0.0
2004-03-18,0.0
2004-05-06,0.0
2004-06-30,0.25
2004-08-10,0.25
2004-09-21,0.25
2004-11-10,0.25
2004-12-14,0.25
2005-02-02,0.25
2005-03-22,0.25
2005-05-03,0.25
2005-06-30,0.25
2005-08-09,0.25
2005-09-20,0.25
2005-11-01,0.25
2005-12-13,0.25
2006-01-31,0.25
2006-03-28,0.25
2006-05-10,0.25
2006-06-29,0.25
2006-08-10,0.0
2006-09-22,0.0
2006-10-26,0.0
2006-12-14,0.0
2007-02-01,0.0
2007-03-22,0.0
2007-05-11,0.0
2007-06-29,0.0
2007-08-09,0.0
2007-08-12,0.0
2007-08-18,0.0
2007-09-18,-0.5
2007-10-31,-0.25
2007-12-08,0.0
2007-12-11,-0.25
2008-01-11,0.0
2008-01-22,-0.75
2008-01-30,-0.5
2008-03-12,0.0
2008-03-18,-0.75
2008-04-30,-0.25
2008-06-26,0.0
2008-07-26,0.0
2008-08-07,0.0
2008-09-18,0.0
2008-10-01,0.0
2008-10-08,-0.5
2008-10-29,-0.5
2008-12-16,-1.0
2009-01-18,0.0
2009-01-29,0.0
2009-02-09,0.0
2009-03-19,0.0
2009-04-30,0.0
2009-06-05,0.0
2009-06-25,0.0
2009-08-13,0.0
2009-09-24,0.0
2009-11-05,0.0
2009-12-17,0.0
2010-01-28,0.0
2010-03-18,0.0
2010-04-29,0.0
2010-05-11,0.0
2010-06-24,0.0
2010-08-12,0.0
2010-09-23,0.0
2010-10-17,0.0
2010-11-04,0.0
2010-12-16,0.0
2015-12-16,0.25
2016-12-14,0.25
2017-03-16,0.25
2017-06-15,0.25
2017-12-14,0.25
2018-02-01,0.0
2018-03-22,0.25
2018-05-03,0.0
2018-06-14,0.25
2018-08-02,0.0
2018-09-27,0.25
2018-11-09,0.0
2018-12-20,0.25
2019-01-31,0.0
2019-03-21,0.0
2019-05-02,0.0
2019-06-20,0.0
2019-08-01,-0.25
2019-09-19,-0.25
2019-10-06,0.0
2019-10-31,-0.25
2019-12-12,0.0
2020-01-30,0.0
2020-03-04,-0.5
2020-03-16,-1.0
2020-03-25,0.0
2020-04-02,0.0
2020-04-30,0.0
2020-06-11,0.0
2020-07-30,0.0
2020-08-29,0.0
2020-09-17,0.0
2020-11-06,0.0
2020-12-17,0.0
2021-01-28,0.0
2021-03-18,0.0
2021-04-29,0.0
2021-06-17,0.0
2021-07-29,0.0
2021-09-23,0.0
2021-11-04,0.0
2021-12-16,0.0
2022-01-27,0.0
2022-03-17,0.25
2022-05-05,0.5
2022-06-16,0.75
2022-07-28,0.75
2022-09-22,0.75
2022-11-03,0.75
2022-12-15,0.5
2023-02-02,0.25
